n_days,park_name,stars,num_of_reviews,discount,distance,price (€)
2,Well Parking - Park & Ride - Uncovered,(4.8/5),1 Reviews,6%,4.3 km,33.00
3,Well Parking - Park & Ride - Uncovered,(4.8/5),1 Reviews,32%,4.3 km,39.00
4,Green Parking Milan Malpensa,(4.7/5),3958 Reviews,,4.8 km,45.00
5,Kingparking Malpensa T1 & T2 Open Air,(4.4/5),3422 Reviews,,4.6 km,48.00
6,Kingparking Malpensa T1 & T2 Open Air,(4.4/5),3422 Reviews,,4.6 km,54.00
7,Green Parking Milan Malpensa - Pay at the car park,(4.6/5),225 Reviews,14%,4.8 km,57.00
8,Green Parking Milan Malpensa - Pay at the car park,(4.6/5),225 Reviews,19%,4.8 km,60.00
9,Green Parking Milan Malpensa - Pay at the car park,(4.6/5),225 Reviews,19%,4.8 km,65.00
10,Green Parking Milan Malpensa - Pay at the car park,(4.6/5),225 Reviews,19%,4.8 km,70.00
11,Green Parking Milan Malpensa - Pay at the car park,(4.6/5),225 Reviews,20%,4.8 km,72.00
12,Green Parking Milan Malpensa - Pay at the car park,(4.6/5),225 Reviews,21%,4.8 km,75.00
13,Green Parking Milan Malpensa - Pay at the car park,(4.6/5),225 Reviews,22%,4.8 km,78.00
14,Green Parking Milan Malpensa - Pay at the car park,(4.6/5),225 Reviews,22%,4.8 km,80.00
15,Green Parking Milan Malpensa - Pay at the car park,(4.6/5),225 Reviews,20%,4.8 km,85.00
16,Green Parking Milan Malpensa - Pay at the car park,(4.6/5),225 Reviews,17%,4.8 km,90.00
17,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,25%,3.8 km,94.00
18,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,28%,3.8 km,98.00
19,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,26%,3.8 km,101.00
20,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,,3.8 km,104.00
21,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,,3.8 km,107.00
22,Green Parking Milan Malpensa - Pay at the car park,(4.6/5),225 Reviews,12%,4.8 km,120.00
23,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,12%,3.8 km,114.00
24,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,,3.8 km,117.00
25,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,14%,3.8 km,120.00
26,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,7%,3.8 km,124.00
27,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,9%,3.8 km,127.00
28,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,,3.8 km,130.00
29,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,,3.8 km,133.00
30,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,16%,3.8 km,136.00
31,Mister Parking Malpensa Open Air Shuttle Bus,(4.6/5),8475 Reviews,,3.8 km,140.00
