n_days,min_price (€),D1 (€),Q1 (€),median_price (€),Q3 (€),D9 (€),max_price (€),IDR (€),2nd_pos_price (€)
2,33,36,37.75,42.75,45.75,49.25,340,13.25,36
3,39,41.2,44,47.5,56,62.4,350,21.2,41
4,45,45.3,47.25,52.12,62.75,70.8,360,25.5,45
5,48,50.3,52.5,58.88,70.82,85.9,370,35.6,50
6,54,55,57.25,66.7,81.3,95.33,380,40.33,55
7,57,61,62,72,91.5,113,400,52,61
8,60,67.8,72.25,79.88,103.5,120.6,430,52.8,66
9,65,71.9,76,89.12,113.25,130.03,450,58.13,71
10,70,76.3,79.75,94.97,122.9,138.3,460,62,76
11,72,79.6,83.75,100.33,131.23,145.5,470,65.9,79
12,75,81.3,86.25,113,141.55,155.8,480,74.5,81
13,78,83.5,93.75,109.62,151.12,162,500,78.5,82
14,80,85.5,98.75,113.05,156.75,172,510,86.5,84
15,85,90.4,103.5,117.5,168.38,180.6,520,90.2,88
16,90,94,108.25,121.4,176.25,187.8,530,93.8,91
17,94,98.6,113.25,125.8,184.88,196.4,540,97.8,95
18,98,105.1,121.75,143.5,192,345,550,239.9,100
19,101,110.1,125.5,147.75,199.88,351.5,560,241.4,105
20,104,115.1,129.5,151.5,206.25,358,570,242.9,110
21,107,120.1,134,155.25,212.5,364.5,580,244.4,115
22,120,130.2,139.75,149,180,204.2,227,74,137
23,114,128.2,142,152,230,395,610,266.8,125
24,117,134.5,147.5,168,229.5,384,630,249.5,130
25,120,137.6,152,161,243,407,640,269.4,135
26,124,143.6,157.25,177,241.75,397,650,253.4,140
27,127,148,162.25,181.25,248.75,403.5,660,255.5,145
28,130,152.7,167.25,185.5,254.5,410,670,257.3,150
29,133,157.1,172.25,189.75,260.25,416.5,680,259.4,155
30,136,161.8,177.25,194,266.75,423,690,261.2,160
31,140,166.2,182.25,198.75,273.25,429.5,700,263.3,165
